event_title,organisation,date,location,match_nr,fighter1_name,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,round,time
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),"Jul 24, 2021","UFC Apex, Las Vegas, Nevada, United States",8,Maycee Barber,Miranda Maverick,win,loss,Decision,Split,3,05:00
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),"Jul 17, 2021","UFC Apex, Las Vegas, Nevada, United States",10,Islam Makhachev,Thiago Moises,win,loss,Submission,Rear-Naked Choke,4,2:38
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),"Jul 17, 2021","UFC Apex, Las Vegas, Nevada, United States",8,Mateusz Gamrot,Jeremy Stephens,win,loss,Submission,Kimura,1,01:05
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),"Jul 10, 2021","T-Mobile Arena, Las Vegas, Nevada, United States",8,Sean O'Malley,Kris Moutinho,win,loss,TKO,Punches,3,04:33
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),"Jul 10, 2021","T-Mobile Arena, Las Vegas, Nevada, United States",5,Ilia Topuria,Ryan Hall,win,loss,KO,Punches,1,04:47
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),"Jul 10, 2021","T-Mobile Arena, Las Vegas, Nevada, United States",4,Dricus Du Plessis,Trevin Giles,win,loss,KO,Punches,2,01:41
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),"Jun 26, 2021","UFC Apex, Las Vegas, Nevada, United States",6,Shavkat Rakhmonov,Michel Prazeres,win,loss,Submission,Rear-Naked Choke,2,02:10
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),"Jun 12, 2021","Gila River Arena, Glendale, Arizona, United States",14,Israel Adesanya,Marvin Vettori,win,loss,Decision,Unanimous,5,5:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),"Jun 12, 2021","Gila River Arena, Glendale, Arizona, United States",12,Leon Edwards,Nate Diaz,win,loss,Decision,Unanimous,5,05:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),"Jun 12, 2021","Gila River Arena, Glendale, Arizona, United States",11,Belal Muhammad,Demian Maia,win,loss,Decision,Unanimous,3,05:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),"Jun 12, 2021","Gila River Arena, Glendale, Arizona, United States",6,Movsar Evloev,Hakeem Dawodu,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),"Jun 5, 2021","UFC Apex, Las Vegas, Nevada, United States",3,Manon Fiorot,Tabatha Ricci,win,loss,TKO,Punches,2,03:00
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),"Jun 5, 2021","UFC Apex, Las Vegas, Nevada, United States",2,Sean Woodson,Youssef Zalal,win,loss,Decision,Split,3,05:00
UFC Fight Night 188 - Font vs. Garbrandt,Ultimate Fighting Championship (UFC),"May 22, 2021","UFC Apex, Las Vegas, Nevada, United States",1,Damir Ismagulov,Rafael Alves,win,loss,Decision,Unanimous,3,05:00
UFC on ESPN 24 - Rodriguez vs. Waterson,Ultimate Fighting Championship (UFC),"May 8, 2021","UFC Apex, Las Vegas, Nevada, United States",5,Gregor Gillespie,Diego Ferreira,win,loss,TKO,Elbows and Punches,2,04:51
UFC on ESPN 23 - Reyes vs. Prochazka,Ultimate Fighting Championship (UFC),"May 1, 2021","UFC Apex, Las Vegas, Nevada, United States",11,Jiri Prochazka,Dominick Reyes,win,loss,KO,Spinning Back Elbow,2,4:29
UFC 261 - Usman vs. Masvidal 2,Ultimate Fighting Championship (UFC),"Apr 24, 2021","VyStar Veterans Memorial Arena, Jacksonville, Florida, United States",12,Rose Namajunas,Weili Zhang,win,loss,KO,Head Kick,1,01:18
UFC on ABC 2 - Vettori vs. Holland,Ultimate Fighting Championship (UFC),"Apr 10, 2021","UFC Apex, Las Vegas, Nevada, United States",12,Arnold Allen,Sodiq Yusuff,win,loss,Decision,Unanimous,3,05:00
UFC on ABC 2 - Vettori vs. Holland,Ultimate Fighting Championship (UFC),"Apr 10, 2021","UFC Apex, Las Vegas, Nevada, United States",7,Mateusz Gamrot,Scott Holtzman,win,loss,KO,Punches,2,01:22
UFC on ABC 2 - Vettori vs. Holland,Ultimate Fighting Championship (UFC),"Apr 10, 2021","UFC Apex, Las Vegas, Nevada, United States",4,Jack Shore,Hunter Azure,win,loss,Decision,Split,3,05:00
