fighter_name,sex,birth_date,age,status,death_date,location,country,height,weight,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,losses,losses_ko,losses_submission,losses_decision,losses_other,draws,pro_mma,pro_boxing,pro_kickboxing,pro_muay_thai,pro_karate,pro_taekwondo,pro_wrestling,pro_bjj,pro_judo,pro_sambo
A-Sol Kwon,Male,1986-08-22,39.0,Active,,Mokpo South Jeolla,South Korea,"5'10""",209,Heavyweight,21,11,3,7,0,13,5,2,6,0,0,1,0,0,0,0,0,0,0,0,0
A.J. Agazarm,Male,1989-07-26,36.0,Active,,Stockton/California,United States,"5'8""",145,Featherweight,3,0,2,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
A.J. Lias Mansor,Male,1975-05-16,50.0,Active,,Sabah/Malaysia,Malaysia,"5'7""",145,Featherweight,4,1,1,2,0,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
A.J. Matthews,Male,1988-01-23,37.0,Active,,San Diego/Carlsbad,California/United States,"5'11""",170,Welterweight,9,6,0,3,0,9,5,0,4,0,0,1,0,0,0,0,0,0,0,0,0
A.J. McKee,Male,1995-04-07,30.0,Active,,Long Beach/California/United States,United States,"5'10""",145,Featherweight,23,6,8,9,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
A.J. Siscoe,Male,1990-09-20,35.0,Active,,Missouri/United States,United States,"5'6""",135,Bantamweight,3,0,3,0,0,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
A.J. Williams,Male,1986-07-11,39.0,Active,,Las Vegas/Nevada/United States,United States,"6'0""",155,Lightweight,2,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Aalon Cruz,Male,1989-09-20,36.0,Active,,Tampa/Florida/United States,United States,"6'0""",155,Lightweight,11,4,2,5,0,5,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Barringer,Male,1989-06-14,36.0,Active,,Texas/United States,United States,"6'2""",185,Middleweight,4,1,3,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Brink,Male,1974-05-12,51.0,Active,,Canada,Canada,"6'2""",265,Heavyweight,11,10,1,0,0,22,18,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Chalmers,Male,1987-09-02,38.0,Active,,Hull/England/United Kingdom,United Kingdom,"5'10""",155,Lightweight,5,3,0,2,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Davis,Male,1989-05-03,36.0,Active,,California/United States,United States,"5'9""",145,Featherweight,4,2,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Derrow,Male,1986-11-18,39.0,Active,,Michigan/United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Ely,Male,1990-02-14,35.0,Active,,Texas/United States,United States,"5'10""",155,Lightweight,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Hamilton,Male,1992-07-09,33.0,Active,,Florida/United States,United States,"6'1""",185,Middleweight,3,2,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Johnson,Male,1994-03-21,31.0,Active,,Ontario/Canada,Canada,"5'11""",155,Lightweight,5,2,2,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron McKenzie,Male,1988-08-30,37.0,Active,,Scotland/United Kingdom,United Kingdom,"5'9""",145,Featherweight,4,1,2,1,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Miller,Male,1991-01-27,35.0,Active,,Ohio/United States,United States,"6'0""",170,Welterweight,6,3,1,2,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Phillips,Male,1985-12-05,40.0,Active,,Kentucky/United States,United States,"5'8""",135,Bantamweight,3,1,1,1,0,5,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Pico,Male,1996-09-23,29.0,Active,,Whittier/California/United States,United States,"5'8""",145,Featherweight,13,6,5,2,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Riley,Male,1981-04-09,44.0,Active,,Spokane/Washington/United States,United States,"5'9""",155,Lightweight,28,10,3,15,0,14,5,2,7,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Roberson,Male,1985-03-17,40.0,Active,,Missouri/United States,United States,"6'1""",170,Welterweight,6,3,2,1,0,5,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Rodriguez,Male,1991-06-11,34.0,Active,,Texas/United States,United States,"5'10""",145,Featherweight,5,1,3,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Romero,Male,1988-10-02,37.0,Active,,Arizona/United States,United States,"6'0""",185,Middleweight,4,2,1,1,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Rosa,Male,1993-01-19,33.0,Active,,New York/United States,United States,"5'7""",135,Bantamweight,3,1,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Simpson,Male,1975-08-20,50.0,Active,,Montana/United States,United States,"6'2""",185,Middleweight,10,3,4,3,0,4,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0
